测试问题,向量Hit@1,BM25_Hit@1,混合Hit@1,向量Hit@3,BM25_Hit@3,混合Hit@3,向量MRR@3,BM25_MRR@3,混合MRR@3
企业知识库适用于哪些人员？,False,False,False,False,False,False,0.0,0.0,0.0
知识库的使用原则有哪些？,False,False,False,False,False,False,0.0,0.0,0.0
制度更新后需要在多长时间内更新文档？,False,False,False,False,False,False,0.0,0.0,0.0
知识库中文档分为哪些类别？,False,False,False,False,False,False,0.0,0.0,0.0
文档命名的统一格式是什么？,True,True,True,True,True,True,1.0,1.0,1.0
普通员工在知识库里有什么权限？,False,False,False,False,False,False,0.0,0.0,0.0
管理员在知识库中的职责是什么？,False,False,False,False,False,False,0.0,0.0,0.0
涉密文档有什么限制要求？,False,False,False,False,False,False,0.0,0.0,0.0
违反知识库规范会有什么后果？,False,False,False,False,False,False,0.0,0.0,0.0
修改重要文档之前应该怎么做？,False,False,False,False,False,False,0.0,0.0,0.0
登录失败应该怎么处理？,False,False,False,False,False,False,0.0,0.0,0.0
数据导出的操作路径是什么？,False,False,False,False,False,False,0.0,0.0,0.0
付款后多久能开通服务？,False,False,False,False,False,False,0.0,0.0,0.0
电子发票需要几天才能收到？,False,False,False,False,False,False,0.0,0.0,0.0
售后服务的工作时间是什么？,False,False,False,False,False,False,0.0,0.0,0.0
康泰瑞的企业愿景是什么？,True,True,True,True,True,True,1.0,1.0,1.0
康泰瑞的企业使命是什么？,False,True,False,True,True,True,0.5,1.0,0.5
PRIDE核心价值观代表什么？,True,True,True,True,True,True,1.0,1.0,1.0
康泰瑞的商业模式是什么？,False,True,True,True,True,True,0.5,1.0,1.0
瑞心通的通用名称和适应症是什么？,True,True,True,True,True,True,1.0,1.0,1.0
瑞心通的用法用量是什么？,False,True,True,False,True,True,0.0,1.0,1.0
瑞心通的禁忌症有哪些？,False,False,False,False,False,True,0.0,0.0,0.3333
瑞心通的作用机制是什么？,False,True,False,False,True,False,0.0,1.0,0.0
KTR-101瑞糖平的适应症是什么？,True,False,True,True,True,True,1.0,0.5,1.0
KTR-101的靶点机制是什么？,False,True,True,True,True,True,0.5,1.0,1.0
严重不良事件的上报时限是多久？,True,True,True,True,True,True,1.0,1.0,1.0
康泰瑞每年研发投入占营业收入的比例是多少？,True,True,True,True,True,True,1.0,1.0,1.0
公司的三地协同研发网络包括哪些？,False,True,False,False,True,True,0.0,1.0,0.5
KTR-102的靶点和适应症是什么？,True,False,False,True,True,True,1.0,0.3333,0.5
超临界二氧化碳萃取技术的特点是什么？,True,True,True,True,True,True,1.0,1.0,1.0
AIDD平台的数据库收录了多少个化合物？,False,True,False,False,True,True,0.0,1.0,0.3333
ALCOA+数据完整性原则包括哪些？,True,True,True,True,True,True,1.0,1.0,1.0
ELN和LIMS在研发中心的作用是什么？,False,True,True,True,True,True,0.3333,1.0,1.0
动物实验必须遵循什么伦理规范？,True,True,True,True,True,True,1.0,1.0,1.0
公司的专利布局策略是什么？,True,True,True,True,True,True,1.0,1.0,1.0
公司通过了哪些质量认证？,True,True,True,True,True,True,1.0,1.0,1.0
质量风险管理使用哪些评估工具？,True,True,True,True,True,True,1.0,1.0,1.0
公司有哪些核心生产车间？,False,False,False,False,True,True,0.0,0.5,0.3333
MES系统在生产中的作用是什么？,False,False,False,False,True,True,0.0,0.3333,0.5
偏差管理的处理流程是什么？,False,False,False,False,True,False,0.0,0.5,0.0
产品放行审核需要审查哪些内容？,True,True,True,True,True,True,1.0,1.0,1.0
瑞心通的有效成分纯度内控标准是多少？,True,True,True,True,True,True,1.0,1.0,1.0
制药废水的日处理量是多少？,True,True,True,True,True,True,1.0,1.0,1.0
对高活性药物车间有什么防护要求？,True,True,True,True,True,True,1.0,1.0,1.0
中药材种植管理遵循什么规范？,True,True,True,True,True,True,1.0,1.0,1.0
